Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Birthday_count,Employed_days,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label,Birthday_years
5008827,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,18772.0,,1,0,0,0,,2,1,51.43013698630137
5009744,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,13557.0,586.0,1,1,1,0,,2,1,37.14246575342466
5009746,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,,586.0,1,1,1,0,,2,1,
5009749,F,Y,N,0,,Commercial associate,Higher education,Married,House / apartment,13557.0,586.0,1,1,1,0,,2,1,37.14246575342466
5009752,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,13557.0,586.0,1,1,1,0,,2,1,37.14246575342466
5009753,,Y,N,0,315000.0,Pensioner,Higher education,Married,House / apartment,13557.0,586.0,1,1,1,0,,2,1,37.14246575342466
5009754,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,13557.0,586.0,1,1,1,0,,2,1,37.14246575342466
5009894,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,22134.0,,1,0,0,0,,2,1,60.64109589041096
5010864,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,18173.0,678.0,1,0,1,1,Core staff,3,1,49.78904109589041
5010868,M,Y,Y,1,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,18173.0,678.0,1,0,1,1,Core staff,3,1,49.78904109589041
5010869,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,18173.0,678.0,1,0,1,1,Core staff,1,1,49.78904109589041
5018498,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,18950.0,1002.0,1,1,1,0,Cooking staff,2,1,51.917808219178085
5018501,F,Y,Y,0,,Working,Secondary / secondary special,Married,House / apartment,18950.0,1002.0,1,1,1,0,Cooking staff,2,1,51.917808219178085
5018503,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,18950.0,1002.0,1,1,1,0,Cooking staff,2,1,51.917808219178085
5021303,M,N,N,1,472500.0,Pensioner,Higher education,Married,With parents,8907.0,913.0,1,0,0,1,,3,1,24.4027397260274
5021310,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,16896.0,248.0,1,0,0,0,Laborers,2,1,46.29041095890411
5021314,M,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,16896.0,248.0,1,0,0,0,Laborers,2,1,46.29041095890411
5021430,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,18907.0,2470.0,1,0,0,0,Sales staff,1,1,51.8
5021431,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,18907.0,2470.0,1,0,0,0,Sales staff,1,1,51.8
5021998,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,18863.0,1644.0,1,0,0,1,,2,1,51.679452054794524
5022053,M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,12811.0,4327.0,1,0,0,0,,1,1,35.0986301369863
5022617,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,12022.0,1674.0,1,0,0,1,Laborers,2,1,32.93698630136986
5023781,M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,17800.0,1086.0,1,0,0,0,Accountants,2,1,48.76712328767123
5023831,F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,12135.0,925.0,1,0,0,0,Sales staff,4,1,33.24657534246575
5024071,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,15976.0,854.0,1,0,0,0,Laborers,2,1,43.76986301369863
5024213,F,Y,Y,0,540000.0,Commercial associate,Higher education,Married,House / apartment,15702.0,185.0,1,0,1,0,,2,1,43.01917808219178
5024916,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,21832.0,,1,0,1,0,,2,1,59.81369863013698
5024917,F,N,Y,0,,Pensioner,Secondary / secondary special,Married,House / apartment,21832.0,,1,0,1,0,,2,1,59.81369863013698
5025127,,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,11111.0,3350.0,1,0,0,0,High skill tech staff,2,1,30.44109589041096
5028580,M,N,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,19996.0,691.0,1,0,0,0,Managers,2,1,54.78356164383562
5029028,F,N,Y,0,90000.0,Working,Lower secondary,Single / not married,Rented apartment,12026.0,4770.0,1,0,0,0,Cleaning staff,2,1,32.94794520547945
5029311,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,21876.0,,1,0,1,1,,2,1,59.93424657534246
5033453,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,10749.0,2394.0,1,0,0,0,Laborers,1,1,29.44931506849315
5033514,F,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,15952.0,384.0,1,1,0,0,Sales staff,3,1,43.704109589041096
5033916,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,13015.0,3647.0,1,0,0,0,,2,1,35.657534246575345
5036469,M,Y,N,0,112500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,20333.0,1546.0,1,0,0,0,Drivers,2,1,55.706849315068496
5036590,M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,21055.0,808.0,1,0,0,0,Drivers,2,1,57.68493150684932
5036660,F,Y,Y,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,23835.0,,1,0,0,0,,2,1,65.3013698630137
5036795,M,Y,Y,0,215100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,19175.0,1285.0,1,0,1,0,Laborers,2,1,52.534246575342465
5041522,M,Y,Y,0,450000.0,Commercial associate,Higher education,Separated,House / apartment,16169.0,855.0,1,1,1,0,,1,1,44.298630136986304
5042064,F,Y,N,2,270000.0,State servant,Higher education,Married,House / apartment,16053.0,7369.0,1,1,1,0,,4,1,43.98082191780822
5045888,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,23286.0,,1,0,0,0,,1,1,63.797260273972604
5045894,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,23286.0,,1,0,0,0,,1,1,63.797260273972604
5045895,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,23286.0,,1,0,0,0,,1,1,63.797260273972604
5046324,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,15466.0,2269.0,1,0,1,0,Low-skill Laborers,3,1,42.37260273972603
5046328,F,N,Y,1,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,15466.0,2269.0,1,0,1,0,Low-skill Laborers,3,1,42.37260273972603
